Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
pelirrojo,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">redheaded</span></span>
<span class=""pos noun m_f mf"">{mf} <span class=""usage"">redhead</span></span>","<span class=""spa"">Nuestra hija es pelirroja mientras que nosotros dos tenemos el pelo rubio.</span><br>
<span class=""eng"">Our daughter has red hair while both of us have blonde hair.</span><br>
<span class=""spa"">A Tom le gustan las pelirrojas.</span><br>
<span class=""eng"">Tom likes redheads.</span><br>
<span class=""spa"">Ese vestido combina con su cabello pelirrojo.</span><br>
<span class=""eng"">That dress matches her red hair.</span>",[sound:IIFAKVYSFNRVYNISEVW7YU6SOWJHBUWV.mp3]
fluido,m,,"<span class=""pos noun m""> <span class=""usage"">fluid; electrical current</span></span>","<span class=""pos noun m"">{m} <span class=""usage"">fluid; electrical current</span></span>
<span class=""pos adj"">{adj} <span class=""usage"">fluid; fluent</span></span>","<span class=""spa"">Aspiro a tener un chino fluido.</span><br>
<span class=""eng"">My dream is to be fluent in Chinese.</span><br>
<span class=""spa"">Fuimos bien de tiempo porque hubo tráfico fluido.</span><br>
<span class=""eng"">We made good time since the traffic was light.</span><br>
<span class=""spa"">La sangre es el fluido responsable de la circulación de los nutrientes.</span><br>
<span class=""eng"">Blood is the fluid responsible for the circulation of nutrients.</span>",[sound:X4EJMXDVXUE4QW4PZHEWAVCBEHNKVFSF.mp3]
pica,f,,"<span class=""pos noun f""> <span class=""usage"">pike, lance; pick (digging tool)</span></span>","<span class=""pos noun f""> <span class=""usage"">pike, lance; pick (digging tool)</span></span>
<span class=""pos noun f""> <span class=""tag"">[card games]:</span><span class=""usage"">spade (a playing card of the suit spades, picas)</span></span>","<span class=""spa"">Los palos en una baraja de cartas estándar son tréboles, diamantes, corazones y picas.</span><br>
<span class=""eng"">The suits in a standard deck of cards are clubs, diamonds, hearts and spades.</span><br>
<span class=""spa"">Desde que Tom es cantinero, todos los días utiliza un pica hielo en el trabajo.</span><br>
<span class=""eng"">Since Tom is a bartender, he uses an ice pick every day at work.</span><br>
<span class=""spa"">Tom levantó la reina de picas.</span><br>
<span class=""eng"">Tom held up the queen of spades.</span>",[sound:I34RI4OAIHMO5WAWELB7ZTN7M66Y4QXL.mp3]
atómico,adj,,,"<span class=""pos adj""> <span class=""usage"">atomic</span></span>","<span class=""spa"">Ellos arrojaron una bomba atómica sobre Hiroshima.</span><br>
<span class=""eng"">They dropped an atomic bomb on Hiroshima.</span><br>
<span class=""spa"">La primera bomba atómica fue arrojada sobre Japón.</span><br>
<span class=""eng"">The first atomic bomb was dropped on Japan.</span><br>
<span class=""spa"">Una bomba atómica fue lanzada en Hiroshima en 1945.</span><br>
<span class=""eng"">An atomic bomb was dropped on Hiroshima in 1945.</span>",[sound:QDDMGNIXB7LFV2L5OJR7HXPAZW7LCXTA.mp3]
trapo,m,"paño, ropa, traste","<span class=""pos noun m""> <span class=""tag"">[cloth]:</span><span class=""usage"">rag; any piece of cloth</span></span>","<span class=""pos noun m""> <span class=""tag"">[cloth]:</span><span class=""usage"">rag; any piece of cloth</span></span>
<span class=""pos noun m""> <span class=""tag"">[cleansing]:</span><span class=""usage"">any fabric or paper piece for cleaning, washing or drying (tea towel, dish towel, dish cloth, dust cloth, car towel, damp cloth)</span></span>
<span class=""pos noun m""> <span class=""tag"">[figurative]:</span><span class=""usage"">clothing, clothes</span></span>","<span class=""spa"">Tienes las manos de trapo.</span><br>
<span class=""eng"">You have butterfingers.</span><br>
<span class=""spa"">Tom limpió la parte superior de la mesa con un trapo húmedo.</span><br>
<span class=""eng"">Tom cleaned the top of the table with a wet rag.</span>",[sound:K5ETL5WOJ3ODYLNYUJVLAYEJ4FOF7VBA.mp3]
excursión,f,,,"<span class=""pos noun f""> <span class=""usage"">excursion, trip</span></span>","<span class=""spa"">¿Quieres venirte de excursión con nosotros?</span><br>
<span class=""eng"">Do you want to go hiking with us?</span><br>
<span class=""spa"">Cada vez que vamos de excursión, él se queda retrasado.</span><br>
<span class=""eng"">Every time we go hiking, he falls behind.</span><br>
<span class=""spa"">Aún cuando estaba lloviendo, ellos fueron de excursión.</span><br>
<span class=""eng"">Even though it was raining, they went on their outing.</span>",[sound:IFMXCYMNBWZ4RPOQTRJ4OR2BXBWNS2NE.mp3]
corrupción,f,,"<span class=""pos noun f""> <span class=""usage"">corruption; corruption, decay, rot</span></span>","<span class=""pos noun f""> <span class=""usage"">corruption (the act of impairing integrity, virtue, or moral principle); corruption, decay, rot; corruption (the act of changing for the worse)</span></span>","<span class=""spa"">A Jason, que estaba a cargo del proyecto, lo destituyeron por corrupción.</span><br>
<span class=""eng"">Jason, who was in charge of the project, was dismissed for corruption.</span><br>
<span class=""spa"">Estamos hartos de la corrupción política.</span><br>
<span class=""eng"">We are sick and tired of political corruption.</span><br>
<span class=""spa"">Tom le declaró la guerra a la corrupción en su país.</span><br>
<span class=""eng"">Tom declared war on the corruption in his country.</span>",[sound:O5NZQVMRNLUFQG4ZZYYZXKULHVFUMKG5.mp3]
rol,m,papel,,"<span class=""pos noun m""> <span class=""usage"">role; roll, list</span></span>","<span class=""spa"">Él jugó un rol importante.</span><br>
<span class=""eng"">He played an important part.</span><br>
<span class=""spa"">Él interpretó un rol menor en la obra.</span><br>
<span class=""eng"">He played a minor part in the play.</span><br>
<span class=""spa"">¿Quién hará el rol de la princesa?</span><br>
<span class=""eng"">Who will play the role of the princess?</span>",[sound:YGVVVNLVIRMEZPG4KSMX674FOQBXBUJ6.mp3]
beneficiar,verb,,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to benefit</span></span>","<span class=""spa"">Esta ley beneficiará a los pobres.</span><br>
<span class=""eng"">This law will benefit the poor.</span><br>
<span class=""spa"">Todos nos podemos beneficiar de su experiencia.</span><br>
<span class=""eng"">We can all benefit from his experience.</span><br>
<span class=""spa"">La tecnología por si misma no tiene sentido si no beneficia a la humanidad.</span><br>
<span class=""eng"">Technology is in itself meaningless unless it serves mankind.</span>",[sound:WN5LYZ6US67UHJ7WESRHCNOEWV6NKL4T.mp3]
tripa,f,,"<span class=""pos noun f""> <span class=""usage"">tripe; intestine, gut</span></span>","<span class=""pos noun f""> <span class=""usage"">tripe; intestine, gut; belly; inner tube</span></span>","<span class=""spa"">Tu tripa parece un huevo.</span><br>
<span class=""eng"">Your gut looks like an egg.</span><br>
<span class=""spa"">No comas demasiado, no te vaya a dar dolor de tripa.</span><br>
<span class=""eng"">Don't get a stomachache by eating too much.</span><br>
<span class=""spa"">Tom dijo que le dolía la tripa y se fue de la habitación.</span><br>
<span class=""eng"">Tom said he had a stomachache and left the room.</span>",[sound:L4SDTVM4ME3G5XEJELZ6SJ2D4AKSGOYW.mp3]
expandir,verb,extender,,"<span class=""pos verb vtr reflexive"">{vtr} <span class=""usage"">to expand, spread</span></span>","<span class=""spa"">El esperanto me ayudó a expandir mis horizontes intelectuales y culturales.</span><br>
<span class=""eng"">Esperanto helped me broaden my intellectual and cultural horizons.</span><br>
<span class=""spa"">La empresa apunta a expandirse a China.</span><br>
<span class=""eng"">The company aims to branch out into China.</span><br>
<span class=""spa"">¿Es necesario expandir el conocimiento humano con la exploración espacial?</span><br>
<span class=""eng"">Is it necessary to expand human knowledge with space exploration?</span>",[sound:S7VWNITVBC2MYT3JTCS6VLG7R4BDWX27.mp3]
enfrente de,prep,,,"<span class=""pos prep""> <span class=""usage"">ahead of</span></span>","<span class=""spa"">El auto está parado enfrente de aquel edificio.</span><br>
<span class=""eng"">The car's parked opposite that building.</span><br>
<span class=""spa"">A Tom no le gusta cuando la gente estaciona enfrente de su casa.</span><br>
<span class=""eng"">Tom doesn't like it when people park in front of his house.</span><br>
<span class=""spa"">Tom me pidió que no aparcara mi coche enfrente de su casa.</span><br>
<span class=""eng"">Tom asked me not to park my car in front of his house.</span>",[sound:HMEFGOYVXGIMGDOMW2Q2OGE7KGA2D34L.mp3]
extraterrestre,adj,alienígena,,"<span class=""pos adj"">{adj} <span class=""usage"">extraterrestrial</span></span>
<span class=""pos noun mf"">{mf} <span class=""usage"">extraterrestrial</span></span>","<span class=""spa"">En un popular programa de ciencia ficción, el extraterrestre Minbari tiene tres compañeros de casta.</span><br>
<span class=""eng"">In a popular sci-fi show, the alien Minbari have three peer castes.</span><br>
<span class=""spa"">¿Fue Tom en verdad abducido por los extraterrestres?</span><br>
<span class=""eng"">Was Tom really abducted by aliens?</span><br>
<span class=""spa"">Algunos científicos creen que nuestro primer contacto con vida extraterrestre ocurrirá en la próxima década.</span><br>
<span class=""eng"">Some scientists believe that our first contact with extra-terrestrial life will occur in the next decade or so.</span>",[sound:SS6YE2ZIXG5BVRXDBETLDRLAXLLWAGQR.mp3]
hipócrita,adj,,,"<span class=""pos adj"">{adj} <span class=""usage"">hypocritical</span></span>
<span class=""pos noun mf"">{mf} <span class=""usage"">hypocrite (person practising hypocrisy)</span></span>","<span class=""spa"">Mary no es tan hipócrita como la gente cree.</span><br>
<span class=""eng"">Mary isn't as hypocritical as people think.</span><br>
<span class=""spa"">Vos sos hipócrita y ese es el problema.</span><br>
<span class=""eng"">You are double-faced and this is the problem.</span><br>
<span class=""spa"">Él fue tan lejos como para llamarte hipócrita.</span><br>
<span class=""eng"">He went as far as to call you a hypocrite.</span>",[sound:BAPNHOJBICRP6CB7GCBSB6YO5N44E352.mp3]
aparcamiento,m,estacionamiento,"<span class=""pos noun m only-spain spain""> <span class=""tag"">[Spain]:</span><span class=""usage"">parking; parking lot, car park</span></span>","<span class=""pos noun m only-spain spain""> <span class=""tag"">[Spain]:</span><span class=""usage"">parking; parking lot, car park</span></span>
<span class=""pos noun m""> <span class=""usage"">parking garage</span></span>","<span class=""spa"">El coche cabrá en el aparcamiento.</span><br>
<span class=""eng"">The car will fit into the parking place.</span><br>
<span class=""spa"">Los sábados por la noche es difícil encontrar aparcamiento por aquí.</span><br>
<span class=""eng"">On Saturday nights, it's difficult to find parking around here.</span><br>
<span class=""spa"">No puedes aparcar aquí. Sin embargo, hay un aparcamiento a la vuelta de la esquina.</span><br>
<span class=""eng"">You can't park here. However, there is a parking lot just around the corner.</span>",[sound:HCP2HJT2D2LQZLBP4KWYPHVJBQGKMRU2.mp3]
irrumpir,verb,,,"<span class=""pos verb v""> <span class=""usage"">to burst into</span></span>","<span class=""spa"">Ella irrumpió en la habitación.</span><br>
<span class=""eng"">She burst into the room.</span><br>
<span class=""spa"">Tom y Mary irrumpieron en la fiesta de John.</span><br>
<span class=""eng"">Tom and Mary crashed John's party.</span><br>
<span class=""spa"">La policía atrapó a Tom in fraganti irrumpiendo en una casa de nuestro vecindario.</span><br>
<span class=""eng"">The police caught Tom red-handed, breaking into a house in our neighborhood.</span>",[sound:HF3YRYA3OYBWWD4DEWZ7PX42DWASQJYO.mp3]
cultural,adj,,,"<span class=""pos adj""> <span class=""usage"">cultural (of or relating to culture)</span></span>","<span class=""spa"">¿Qué quieres decir con relativismo cultural?</span><br>
<span class=""eng"">What do you mean by cultural relativism?</span><br>
<span class=""spa"">Londres era muy importante por razones económicas y culturales.</span><br>
<span class=""eng"">London was very important for economical and cultural reasons.</span><br>
<span class=""spa"">La cantidad de papel producido por un país está cercanamente relacionado a sus estándares culturales.</span><br>
<span class=""eng"">The amount of paper produced by a country is closely related to its cultural standards.</span>",[sound:2LCPB6KEF2JVL3P4QKXSHXS7VZFIQBVW.mp3]
bolo,m,,"<span class=""pos noun m""> <span class=""usage"">bolus</span></span>
<span class=""pos noun m""> <span class=""tag"">[in plural]:</span><span class=""usage"">bowling</span></span>","<span class=""pos noun m"">{m} <span class=""usage"">bolus</span></span>
<span class=""pos noun m""> <span class=""tag"">[in plural]:</span><span class=""usage"">bowling</span></span>
<span class=""pos noun m only-latin-america only-south-america only-venezuela venezuela""> <span class=""tag"">[Venezuela, slang]:</span><span class=""usage"">A bolívar (Venezuelan unit of currency)</span></span>
<span class=""pos noun m""> <span class=""tag"">[colloquial]:</span><span class=""usage"">gig</span></span>
<span class=""pos noun m only-philippines philippines""> <span class=""tag"">[Philippines]:</span><span class=""usage"">bolo (long, single-edged machete)</span></span>
<span class=""pos adj central-america only-central-america only-latin-america"">{adj} <span class=""tag"">[colloquial, Central America]:</span><span class=""usage"">drunk</span></span>","<span class=""spa"">Creo que es altamente improbable que Tom vaya a jugar bolos.</span><br>
<span class=""eng"">I think it's highly unlikely that Tom will go bowling.</span><br>
<span class=""spa"">Tom no sabía la razón de por qué Mary no podía ir a jugar bolos.</span><br>
<span class=""eng"">Tom didn't know the reason why Mary couldn't go bowling.</span>",[sound:INK6N4MCUZOXDAUXDROTNFCXROIVQJ22.mp3]
descifrar,verb,,,"<span class=""pos verb v""> <span class=""usage"">to decipher</span></span>","<span class=""spa"">Tom no pudo descifrar el mensaje secreto.</span><br>
<span class=""eng"">Tom couldn't decode the secret message.</span><br>
<span class=""spa"">Es imposible de descifrar su escritura.</span><br>
<span class=""eng"">It is impossible to read her handwriting.</span><br>
<span class=""spa"">Tom descifró por qué la máquina no estaba funcionando.</span><br>
<span class=""eng"">Tom figured out why the machine wasn't working.</span>",[sound:EIM4ILJUFO5OPNILJY33KXXV7ZCSKYAB.mp3]
